listing_id,5_stars,availability_365,borough,coordinates,host_id,host_name,is_rated,last_review,name,neighbourhood,number_of_reviews,number_of_stays,reviews_per_month,room_type,price,rating,listing_added
3831,0.7573657865679931,194,Brooklyn,"(40.68514, -73.95976)",4869,LisaRoxanne,1,2019-07-05,Cozy Entire Floor of Brownstone,Clinton Hill,270,324.0,4.64,Entire home/apt,89.0,3.2739354028569787,2018-12-30
6848,0.7897427077554477,46,Brooklyn,"(40.70837, -73.95352)",15991,Allen & Irina,1,2019-06-29,Only 2 stops to Manhattan studio,Williamsburg,148,177.6,1.2,Entire home/apt,140.0,3.4957595810256405,2018-12-24
7322,0.6698725882352369,12,Manhattan,"(40.74192, -73.99501)",18946,Doti,1,2019-07-01,Chelsea Perfect,Chelsea,260,312.0,2.12,Private room,140.0,4.3890506173017565,2018-12-26
7726,0.6402508102467211,21,Brooklyn,"(40.67592, -73.94694)",20950,Adam And Charity,1,2019-06-22,Hip Historic Brownstone Apartment with Backyard,Crown Heights,53,63.6,4.44,Entire home/apt,99.0,3.3053824683089426,2018-12-17
12303,0.9185926404702348,311,Brooklyn,"(40.69673, -73.97584)",47618,Yolande,1,2018-09-30,1bdr w private bath. in lofty apt,Fort Greene,25,30.0,0.23,Private room,120.0,4.568744654108088,2018-03-27
12627,0.7012203688314269,95,Brooklyn,"(40.65944, -73.96238000000002)",49670,Rana,1,2019-06-05,Entire apartment in central Brooklyn neighborhood.,Prospect-Lefferts Gardens,11,13.2,0.49,Entire home/apt,150.0,3.7593278299793575,2018-11-30
13394,0.625557908711271,192,Brooklyn,"(40.69142, -73.97376)",52335,Alexander,1,2019-06-17,Fort Greene brownstone ,Fort Greene,135,162.0,1.16,Private room,80.0,4.050713992961011,2018-12-12
14322,0.9110310590510766,257,Manhattan,"(40.73961, -73.98074)",56284,Francesca,1,2019-03-25,Beautiful Apartment in Manhattan!!!,Kips Bay,19,22.8,0.22,Entire home/apt,200.0,4.8241590157441125,2018-09-19
15338,0.8964005013799463,320,Brooklyn,"(40.72401, -73.93788)",32169,Andrea,1,2019-06-04,Room in Greenpoint Loft w/ Roof,Greenpoint,138,165.6,1.19,Private room,49.0,4.922277109991008,2018-11-29
15711,0.7197957607814761,231,Manhattan,"(40.77065, -73.95269)",61491,D,1,2019-03-30,2 bedroom - Upper East Side-great for kids,Upper East Side,66,79.2,0.57,Entire home/apt,250.0,3.483934739999956,2018-09-24
17092,0.6866449351611053,88,Manhattan,"(40.76342, -73.98865)",66243,Enzo,1,2019-06-01,Cool Room in Hell's Kitchen,Hell's Kitchen,23,27.6,0.43,Private room,51.0,3.4186339535262094,2018-11-26
18764,0.7141883130020319,238,Brooklyn,"(40.71154, -73.96112)",72014,Lulú,1,2019-04-22,Cozy 2 BR in Williamsburg ,Williamsburg,61,73.2,0.54,Private room,145.0,4.333950978998889,2018-10-17
19282,0.6549634329088398,38,Brooklyn,"(40.65401, -73.96323000000002)",73469,Gaia,1,2019-06-15,"Sunny, Spacious Top Floor Haven",Flatbush,16,19.2,0.15,Entire home/apt,130.0,3.694795866803593,2018-12-10
20734,0.7482829858252198,207,Brooklyn,"(40.68233, -73.97261)",78460,Sean & Lynette,1,2019-06-27,Spacious Prospect Heights Apartment,Prospect Heights,166,199.2,3.4,Entire home/apt,131.0,4.236907397869558,2018-12-22
22918,0.7676978515036037,219,Manhattan,"(40.82279000000001, -73.95139)",32294,Ssameer Or Trip,1,2019-01-03,loft bed - near transportation-15min to times sq,Harlem,11,13.2,0.87,Private room,60.0,3.5506057105982656,2018-06-30
